Title,Speakers,Speaker Location,Affiliation,Identifier,Room,Date,Time,Sesstion,Theme
The 3+3 Design fails to identify the Maximum Tolerated Dose in 70% of trials: Time for Oncology to move on,Miguel Pereira ,"Cambridge, United Kingdom",Cambridge,993P,Hall 25,10/19/2025,12-13:00,Poster,Developmental therapeutics
Genomic Analysis of Papillary Renal Cell Carcinoma (PRCC): MET Alterations Are Uncommon and Enriched in Patients of African Ancestry,Miguel Zugman ,"Sao Paulo, Brazil","Department of Medical Oncology and Therapeutics, City of Hope Comprehensive Cancer Center, Duarte, CA, Hospital Israelita Albert, São Paulo, São Paulo, Brazil.",2610MO,Bonn Auditorium - Hall 7.1c,10/19/2025,09:10 - 09:15,Mini Oral Session,"GU tumours, renal & urothelial"
Lessons learned from implementing LLMs in a cancer centre,Mihaela Aldea ,"Villejuif, France","Department of Medical Oncology, Villejuif, France, Paris-Saclay University, Paris, France, Lowe Center for Thoracic Oncology, Dana-Farber Cancer Institute and Harvard Medical School, Boston",,Karlsruhe Auditorium - Hall 5.2,10/19/2025,08:50 - 09:10,Special Session,Chat GPT and cancer care
Macrophage reprogrammer Bexmarilimab Plus Azacitidine in Myelodysplastic Syndrome: PK/PD and biomarker results from the Phase 1/2 BEXMAB Study,Mika Kontro ,"Helsinki, Finland","Department of Hematology, Helsinki University Hospital Comprehensive Cancer Center, Finland.",1249MO,Solingen Auditorium - Hall 23,10/19/2025,09:28 - 09:33,Mini Oral Session,Haematological malignancies
The association between tumor immunogenomic features and first line (1L) therapeutic outcomes in advanced biliary tract cancer (BTC),Milind Javle ,"Houston, United States of America","Gastrointestinal Medical Oncology, University of Texas Anderson Cancer Center, Houston, TX, USA.",94P,Hall 25,10/19/2025,12-13:00,Poster,"Biliary tract cancer, incl. cholangiocarcinoma"
Neoadjuvant TACE plus lenvatinib and camrelizumab for borderline resectable hepatocellular carcinoma: Updated results of the BRHCC-I phase Ib/II trial,Mingheng Liao ,"Chengdu, China","Department of Liver Surgery & Liver Transplantation, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University and Collaborative Innovation Center of Biotherapy",1478P,Hall 25,10/19/2025,12-13:00,Poster,Hepatocellular carcinoma (HCC)
Personalised medicine in focus: the evolving treatment landscape in advanced GC / GEJC,Ming-Huang Chen ,"Taipei City, Taiwan","School of Medicine, College of Medicine, National Yang Ming Chiao Tung University, Taipei, Taiwan.",,Bremen Auditorium - Hall 6.2,10/19/2025,13:00 - 14:30,Industry-Sponsored Symposium,230 - AstraZeneca -  Exploring the current and future approaches to GC / GEJC care
"Phase I Study of IPM001 Injection in Advanced Hepatocellular Carcinoma: Safety, Tolerability, and Preliminary Efficacy",Mingjian Piao ,"Beijing, China","Department of Liver Surgery, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing, China.",1506P,Hall 25,10/19/2025,12-13:00,Poster,Hepatocellular carcinoma (HCC)
"Performance of a tissue-agnostic approach based on whole-genome methylation and fragmentomics features for detecting minimal residual disease (MRD) in colorectal cancer (CRC) and its comparison with a clinically validated, tissue-informed MRD assay",Min-Hyeok Jeong ,"Seoul, Republic of Korea","Jason TG, Seoul, Korea.",766P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
Dual PD-L1/EphA2 Tandem CAR-T Cells Achieve Potent and Safe Anti-Tumor Effects Across Multiple Solid Tumor Models,Minwoo Baek ,"Hwasun-gun, Republic of Korea","Graduate School of Inha University, Michuhol-gu, Incheon, Republic of Korea.",1569P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
Prognostic impact of circulating interleukin 6 levels in advanced non-small cell lung cancer patients treated with immune checkpoint inhibitors: a subgroup analysis from the AUTENTIC study,Mireia Martinez Kareaga ,"Vitoria-Gasteiz, Spain","Hospital Universitario de Araba - Txagorritxu, Araba, Spain.",1537P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
Safety Standards for the Administration Process of Antineoplastic Therapies in German Institutions - A Survey in AIO Investigators,Miriam Gediga ,"Dresden, Germany","University Hospital Carl Gustav Carus, Dresden, Germany.",2956eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
Spatial Transcriptomics (ST) Reveals Tumor Microenvironment (TME) Heterogeneity and Resistance Mechanisms to HER2 Inhibition in HER2-positive (HER2+) Metastatic Colorectal Cancer (CRC),Mitsuho Imai ,"Kashiwa, Japan","Translational Research Support Office, National Cancer Center Hospital East, Kashiwa, Japan.",808P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
"Sintilimab plus Bevacizumab Biosimilar IBI305 and Chemotherapy as First-line Treatment for Advanced Gastric or Gastroesophageal Junction Adenocarcinoma (SBAGA): a Single-arm, Phase Ib/II Study",Mo Cheng ,"Chengdu, China","Gastric Cancer Center/Cancer Center, West China Hospital, Sichuan University, Sichuan, China.",2121P,Hall 25,10/19/2025,12-13:00,Poster,Oesophagogastric cancer
Interim analysis of the REFINE-IO study of systemic therapies in patients (pts) with unresectable hepatocellular carcinoma (uHCC) following first-line (1L) immune checkpoint inhibitor (ICI) combination therapy,Mohamed Bouattour ,"Clichy, France","Liver Cancer Unit, Beaujon University Hospital, Clichy, France.",1499P,Hall 25,10/19/2025,12-13:00,Poster,Hepatocellular carcinoma (HCC)
"Optimizing Immunotherapy in Mismatch Repair-Deficient Colorectal Cancer Through Tailored, Subtype-Specific Treatment Approaches",Moh'd M. Khushman ,"St. Louis, United States of America, Florida","Medical Oncology, Washington University in St. Louis, Siteman Cancer Center, St. Louis, Missouri.",795P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
Validating ARCAD-Derived External Control Arms via Virtual Replication of mCRC Randomized Trials,Morteza Raeisi ,"Levallois-Perret, France","ARCAD Foundation, Paris, France.",744P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
Phase II trial of atezolizumab in patients with advanced solid tumors: Results of atezolizumab cohort in the BELIEVE trial (NCCH1901),Motoo Nomura ,"Kyoto, Japan","Department of Clinical Oncology, Kyoto University Hospital, Kyoto, Japan.",1552P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
A retrospective study of esophageal squamous cell carcinoma with five or fewer distant metastatic lesions: OMESC-3 study,Motoo Nomura ,"Kyoto, Japan","Department of Clinical Oncology, Kyoto University Hospital, Kyoto, Japan.",2152P,Hall 25,10/19/2025,12-13:00,Poster,Oesophagogastric cancer
Sexual Quality of Life in Breast Cancer Survivors: Insights from a Tertiary Care Center in India,Mukesh Shanthilal ,"Mysore, India, Karnataka","Department of Oncology, Mysore Medical College & Research Institute, India. Electronic address: dal_muk1@hotmail.com.",2948eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
Exploration Of Hope In Pediatric Oncology Patients And Their Families: A  Systematic Review And Meta-Synthesis Of Qualitative Studies,Munevver Erkul ,"Antalya, Turkey","Faculty of Health Sciences, Antalya Bilim University, Antalya, Turkey.",2577P,Hall 25,10/19/2025,12-13:00,Poster,Psycho-oncology
CAR T cell resistance in high-grade B-cell lymphoma is dictated by tumor-associated macrophages,Myriam Ben Khelil ,"Villejuif, France","Hematology Department, Institut Gustave Roussy, Villejuif, France.",LBA47,Hanover Auditorium - Hall 7.2c,10/19/2025,15:25 - 15:35,Proffered Paper,Proffered paper session 2 - Major discoveries in basic science and translational research
"A Phase II, Open-label, Single-arm, Multi-center Study of Rivoceranib in Patients with Metastatic Thymic Epithelial Tumor, KCSG LU23-09 (THRIVE)",Myung-Ju Ahn ,"Seoul, Republic of Korea","Hematology-Oncology Department, Samsung Medical Center (SMC), Sungkyunkwan University School of Medicine, Seoul, Republic of Korea.",LBA105,Hanover Auditorium - Hall 7.2c,10/19/2025,17:20 - 17:30,Proffered Paper,Mesothelioma
Invited Discussant LBA4,Myung-Ju Ahn ,"Seoul, Republic of Korea","Hematology-Oncology Department, Samsung Medical Center (SMC), Sungkyunkwan University School of Medicine, Seoul, Republic of Korea.",,Berlin Auditorium - Hub 27,10/19/2025,16:42 - 16:52,Proffered Paper,Presidential Symposium II
Fruquintinib plus tislelizumab in microsatellite stable metastatic colorectal cancer: Results from a phase 1b/2 study,N. Arvind Dasari ,"Houston, United States of America","Anderson Cancer Center, Houston, TX.",799P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
DNA Immunotherapy (INO-3107) in HPV-6 & 11 Recurrent Respiratory Papillomatosis - Long-Term Efficacy,Nabil F. Saba ,"Atlanta, United States of America, GA","Department of Hematology and Medical Oncology, Winship Cancer Institute, Emory University School of Medicine, Atlanta, GA.",1541P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
The evolving role of surgery in the IDH inhibitor era,Nader Sanai ,"Phoenix, United States of America","Ivy Brain Tumor Center, Barrow Neurological Institute, St. Joseph's Hospital & Medical Center, NRC 403, Phoenix, AZ, USA.",,Karlsruhe Auditorium - Hall 5.2,10/19/2025,10:30 - 10:45,Symposium,IDH inhibitors and beyond
"Physician’s knowledge, practice, and attitudes on Bone Health management in patients with breast and gynecological cancer.",Nadia Bianco ,"Milan, Italy","Division of Medical Senology, European Institute of Oncology, IRCCS, Milan, Italy.",2903P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
Relationship between education and tumor extension at diagnosis in colorectal cancer: findings from the CONSTANCES cohort,Nadine Hamieh ,"Toulouse, France","Equity Research Team, Centre d'Epidémiologie et de Recherche en santé des POPulations (CERPOP), UMR 1295 (Team Labellised « Ligue Contre le Cancer »), Inserm, University Toulouse III Paul Sabatier",896eP,Hall 25,10/19/2025,12-13:00,ePoster,Colorectal cancer
Effect of lean body mass on the association between oxaliplatin dose and dose-limiting neurotoxicity in colorectal cancer patients,Nadira R. Querido ,"Maastricht, Netherlands","Department of Epidemiology, GROW School for Oncology and Reproduction, Maastricht University, Maastricht, the Netherlands.",857P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
Impact of Physical Activity on Clinical and Patient-Reported Outcomes in Cancer Survivors: A Systematic Review and Meta-Analysis,Nallabothula S. Kiran ,"Hyderabad, India",,2927eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
Geospatial Inequities and Hematological Cancer Outcomes in Resource-Limited Oil-Producing Archipelagos: A Systematic Review Framing Riau as a Regional Example,Nanda N. Nasution ,"Pekanbaru, Indonesia",,2374eP,Hall 25,10/19/2025,12-13:00,ePoster,Policy
Challenges in Early Detection and Treatment Access for Hematological Malignancies in Palm Oil and Petroleum - Rich Archipelagic Provinces: Insights from a Global Systematic Review and the Riau Experience in Indonesia,Nanda N. Nasution ,"Pekanbaru, Indonesia",,2375eP,Hall 25,10/19/2025,12-13:00,ePoster,Policy
"The Efficacy of ChulaCancer LINE Chat Proactive and Interactive Program for Supportive Management of Chemotherapy Adverse Events Compare with Usual Care in Cancer Patients Receiving Chemotherapy, A Pilot Study and Randomized Controlled Trial",Narawitch Sompornpailin ,"Chanthaburi City, Thailand",,2821P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
Impact of Adherence to Healthy Habits on the Quality of Life of Cancer Survivors: A Study from Uruguay,Natalia Camejo ,"Montevideo, Uruguay","Department of Clinical Oncology, Hospital de Clínicas, School of Medicine, Montevideo 11600, Uruguay.",2919eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
Decoding Early Recurrence in Resected Cholangiocarcinoma: Tumor Biology and a Predictive Machine Learning Model,Natalia S. Tissera Valencia ,"Barcelona, Spain","Heriot-Watt University, Edinburgh EH14 4AS, United Kingdom.",97P,Hall 25,10/19/2025,12-13:00,Poster,"Biliary tract cancer, incl. cholangiocarcinoma"
The effectiveness of Integrative Neuro-Cognitive Remediation Therapy (INCRT) for cancer survivors with cognitive problems: a prospective cohort study,Nathalie Vanlaer ,"Brussels, Belgium","Department of Medical Oncology, Laarbeeklaan 101, Brussels, Belgium.",2556P,Hall 25,10/19/2025,12-13:00,Poster,Psycho-oncology
Impact of Integrative Oncology Care Pathways on Quality of Life in Cancer Patients: A Monocentric Cohort Study at the Rafael Institute,Nathaniel Scher ,"Levallois-Perret, France","Department of Radiotherapy, Hartmann Radiotherapy Center Levallois-Perret France, Rafael Institute, center for integrative oncology Levallois-Perret France.",2887P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
"Mitigating infusion-related reactions (IRRs) with cetirizine and montelukast in patients (pts) receiving REGN7075, an EGFR×CD28 bispecific antibody (bsAb)",Neil H. Segal ,"New York, United States of America","Department of Medical Oncology, Memorial Sloan Kettering Cancer Center, NY, USA.",1558P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
Combining cell-free DNA fragmentomes and total tumour volume improves prognostication and tumour response evaluation in patients with colorectal cancer liver metastases,Nerma Crnovrsanin ,"Amsterdam, Netherlands","Department of General, University Hospital Heidelberg, Heidelberg, Germany.",816P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
Updated Results of the ISANOX Phase II Trial: Neoadjuvant Chemotherapy with FOLFIRINOX and Short-Course Radiotherapy in Locally Advanced Rectal Cancer,Nesrine Kooli ,"tunis, Tunisia",,780P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
Prognostic Factors in Locally Advanced Rectal Cancer (LARC) in the ISANOX Trial: Report from a Phase II Trial,Nesrine Kooli ,"tunis, Tunisia",,781P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
MGUS and clonal lymphocytosis,Niccolo Bolli ,"Milano, Italy","Department of Oncology and Onco-Hematology, University of Milan and Hematology Section Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milan, Italy.",,Essen Auditorium - Hall 7.2a,10/19/2025,16:55 - 17:20,Educational Session,Premalignant states in haematology
AI-based multimodal prediction of MSI/MMR status in colorectal cancer from H&E-stained slides and clinicopathological data,Nicholas Bennett ,"Leeds, United Kingdom","Women's Health Research Group, Leeds Institute of Medical Research, St James's University Hospital, University of Leeds, Leeds",883eP,Hall 25,10/19/2025,12-13:00,ePoster,Colorectal cancer
Comprehensive analysis of treatment-associated cellular dynamics in PDAC reveals drug response patterns and novel mechanisms of cell plasticity linked to chemotherapy resistance,Nicolas A. Fraunhoffer Navarro ,"Marseille, France","PSL University, Paris 75014, France.",2254P,Hall 25,10/19/2025,12-13:00,Poster,Pancreatic cancer
Invited Discussant,Nicolas Girard ,"Paris, France","Thorax Institute Curie Montsouris, Department of Medical Oncology, Paris, France.",,Hanover Auditorium - Hall 7.2c,10/19/2025,17:40 - 17:50,Proffered Paper,Mesothelioma
Tackling EGFR treatment resistance,Nicolas Girard ,"Paris, France","Thorax Institute Curie Montsouris, Department of Medical Oncology, Paris, France.",,Heidelberg Auditorium - Hall 6.2,10/19/2025,13:00 - 14:30,Industry-Sponsored Symposium,231 - Johnson & Johnson - Refining patient care in EGFR-mutant NSCLC
Pharmacokinetics of 5-fluorouracil in patients treated with capecitabine carrying the c.1236G>A DPYD variant allele,Niels Heersche ,"Rotterdam, Netherlands","Department of Medical Oncology, Erasmus MC Cancer Institute, Erasmus University Medical Centre, Rotterdam, the Netherlands, Department of Clinical Chemistry, Erasmus University Medical Centre",818P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
Survival outcomes after UGT1A1 genotype-guided dosing of irinotecan: results of a multicentre survival analysis,Niels Heersche ,"Rotterdam, Netherlands","Department of Medical Oncology, Erasmus MC Cancer Institute, Erasmus University Medical Centre, Rotterdam, the Netherlands, Department of Clinical Chemistry, Erasmus University Medical Centre",2238P,Hall 25,10/19/2025,12-13:00,Poster,Pancreatic cancer
The association between preoperative plasma levels of short- and branched-chain fatty acids and risk of complications after colorectal cancer surgery,Niels Klaassen ,"Wageningen, Netherlands",,2866P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
Bowel-related complaints in colorectal cancer survivors: longitudinal analysis of prevalence across treatment groups and associations with dietary fiber intake,Niels Klaassen ,"Wageningen, Netherlands",,2868P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
The Clinical Impact of Comprehensive Biomarker Testing in Early-Stage NSCLC,Niels Reinmuth ,"Gauting, Germany","eAsklepios Lung Clinic, German Center for Lung Research (DZL), Munich-Gauting, Germany.",,Flensburg Auditorium - Hall 23,10/19/2025,18:30 - 20:00,Industry-Sponsored Symposium,Integration of Comprehensive Biomarker Testing in Early-Stage NSCLC
Plasma folate and chemotherapy-induced toxicities in patients with colorectal cancer,Nienke R. Zwart ,"Wageningen, Netherlands","Wageningen University & Research, Wageningen, The Netherlands.",2826P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
"Association Between Quality of Life and Sleep Disturbances, Anxiety, Depression, and Fatigue During and After (Neo)Adjuvant Taxane-Based Chemotherapy in Breast Cancer Patients",Nigar Rustamova ,"Istanbul, Turkey",,2914eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
Beyond Survival: A Comprehensive Cross-Sectional Study of Psychosocial Distress and Unmet Needs in Adolescent and Young Adult Cancer Patients,Nihanthy D. Sreenath ,"New Delhi, India","Department of Medical Oncology, Saroj Gupta Cancer Centre and Research Institute, Kolkata, India.",2552P,Hall 25,10/19/2025,12-13:00,Poster,Psycho-oncology
Impact of early psychosocial intervention on unmet needs of cancer survivors: A longitudinal study from a tertiary care institute in India,Niharika Bisht ,"New Delhi, India","Army Hospital (R&R), Delhi, India.",2555P,Hall 25,10/19/2025,12-13:00,Poster,Psycho-oncology
Anxiety and depression screening in cancer survivors with early intervention: A longitudinal study from a tertiary care centre in India,Niharika Bisht ,"New Delhi, India","Army Hospital (R&R), Delhi, India.",2558P,Hall 25,10/19/2025,12-13:00,Poster,Psycho-oncology
What is the optimal treatment strategy in advanced NSCLC by PD-L1 expression level?,Nikolaj Frost ,"Berlin, Germany","Charité Comprehensive Cancer Center, Charité-Universitätsmedizin Berlin, Berlin, Germany.",,Koblenz Auditorium - Hall 5.2,10/19/2025,18:30 - 20:00,Industry-Sponsored Symposium,What's next in the checkpoint inhibitors revolution?
Cancer patients’ treatment expectations and their impact on the occurrence of nocebo phenomenon,Nikolaos Politis ,"Heraklion, Greece","Laboratory of Biochemistry, Department of Medicine, Democritus University of Thrace, Alexandroupolis, Greece.",CN116,Hall 25,10/19/2025,12-13:00,Poster,"Cancer Nursing: Supportive care, symptom management and integrative oncology"
Advancing Home-Based Cancer Care: Investigating Collaborative Virtual Reality as a Supportive Intervention for AYAs and Their Caregivers - A Qualitative Study,Nikolina Dodlek ,"Limassol, Cyprus","Cyprus University of Technology, Limassol, Cyprus, Faculty for Dental Medicine and Health, Osijek, Croatia.",2929eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
First-in-Human Study of Acoustic Cluster Therapy consisting of PS101 combined with Chemotherapy and insonation in Patients with Liver Metastases of Colorectal Cancer Origin,Nina Tunariu ,"London, United Kingdom, Surrey","The Institute of Cancer Research and the Royal Marsden Hospital, Sutton, Surrey, London",1009eP,Hall 25,10/19/2025,12-13:00,ePoster,Developmental therapeutics
Fuzuloparib (FZPL) monotherapy or in combination with apatinib (APA) as first-line (1L) maintenance therapy in advanced ovarian cancer (OC): final analysis of the FZOCUS-1 trial,Ning Li ,"Beijing, China","Clinical Trial Center, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital Chinese Academy of Medical Sciences and Peking Union Medical College Beijing China.",1063O,Heidelberg Auditorium - Hall 6.2,10/19/2025,15:25 - 15:35,Proffered Paper,Gynaecological cancers
Machine Learning-Driven Integration of Gut Mucosal and Circulating Microbial Biomarkers for Superior Early Diagnosis of Colorectal Cancer,Ning Zhao ,"Xi'an, China","Department of Epidemiology, School of Public Health, Harbin Medical University, Harbin, P.R. China.",756P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
A multi-omics analysis study on the benefits of immunotherapy for advanced intrahepatic cholangiocarcinoma (ICC),Ningning Zhang ,"Tianjin, China","Department of Endocrine and Metabolic Diseases, Shanghai Institute of Endocrine and Metabolic Diseases, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China.",93P,Hall 25,10/19/2025,12-13:00,Poster,"Biliary tract cancer, incl. cholangiocarcinoma"
A Study on Exploring the Correlation Between Benefits of Immunotherapy in Advanced Hepatocellular Carcinoma (HCC) Based on Multi-omics Approaches,Ningning Zhang ,"Tianjin, China","Department of Endocrine and Metabolic Diseases, Shanghai Institute of Endocrine and Metabolic Diseases, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China.",1498P,Hall 25,10/19/2025,12-13:00,Poster,Hepatocellular carcinoma (HCC)
Burden of anxiety and depression on family caregivers of individuals dealing with cancer in a tertiary care center in India,Nitesh Rohatgi ,"Gurugram, India, Delhi","Department of Medical Oncology, Fortis Memorial Research Institute, Gurugram, India.",2568P,Hall 25,10/19/2025,12-13:00,Poster,Psycho-oncology
Efficacy and safety of larotrectinib in patients with TRK fusion cancer who achieved complete response,Noah Federman ,"Los Angeles, United States of America","Division of Pediatric Hematology-Oncology, Department of Pediatrics, University of California Los Angeles, CA, USA.",970P,Hall 25,10/19/2025,12-13:00,Poster,Developmental therapeutics
"A Phase 1/2 Study of JK06, a 5T4-Targeted Antibody Drug Conjugate (ADC), in Patients with Unresectable Locally Advanced or Metastatic Cancer",Nuria Kotecki ,"Anderlecht, Belgium","aDepartment of General Oncology, Center Oscar Lambret, Lille, France bMedical Oncology Clinic, Brussels, Belgium.",961P,Hall 25,10/19/2025,12-13:00,Poster,Developmental therapeutics
How AI is changing molecular profiling,Nuria Lopez-Bigas ,"Barcelona, Spain","Institute for Research in Biomedicine Barcelona, The Barcelona Institute of Science and Technology, Barcelona, Spain.",,Mainz Auditorium - CityCube B,10/19/2025,15:54 - 16:09,Young Oncologists Session,What do young oncologists need to know?
Biological basis of cancer health disparities,Nyasha Chambwe ,"Manhassett, United States of America","Institute of Molecular Medicine, The Feinstein Institutes for Medical Research, Manhasset, NY 11030, USA.",,Heidelberg Auditorium - Hall 6.2,10/19/2025,09:00 - 09:15,Symposium,The importance of representing genomically diverse populations for advancing cancer knowledge
"Results from a Phase 1 Dose Escalation Study of BA3182, a Dual-Conditionally Active Biologic (CAB) EpCAM x CD3 Bispecific T-cell Engager in Patients with Treatment Refractory Metastatic Adenocarcinoma",Oana Danciu ,"Chicago, United States of America","University of Illinois Cancer Center, Chicago, IL 60612, USA.",1581P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
The healthcare experience of patients diagnosed with a solid rare cancer: Results from the EORTC Quality of life group study RARE-QoL,Olga Husson ,"Amsterdam, Netherlands","Department of Medical Oncology, Netherlands Cancer Institute-Antoni Van Leeuwenhoek, Amsterdam, CX",2843P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
Evaluating ctDNA as a Predictive Biomarker in a Phase 1 Clinical Trial of Mosperafenib in BRAFV600E-Mutant Colorectal Cancer,Oliver E. Bechter ,"Leuven, Belgium","Department of General Medical Oncology, University Hospitals Leuven, KU Leuven, Belgium.",822P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
REVERT study: A phase Ib/IIa study to assess the efficacy of the first-in-class RIPK2 inhibitor OPM-101 in patients with advanced melanoma resistant to anti-PD-1-based regimens.,Olivier A. Michielin ,"Geneva, Switzerland","University Hospital of Geneva, Geneva, Switzerland.",1571P,Hall 25,10/19/2025,12-13:00,Poster,Investigational immunotherapy
"Clinical activity of TT125-802, a highly selective bromodomain inhibitor of CBP/p300, in advanced solid tumors: update on the ongoing phase I study",Omar Saavedra ,"Barcelona, Spain","Vall d'Hebron Institute of Oncology (VHIO), Vall d'Hebron University Hospital, Barcelona, Spain.",978P,Hall 25,10/19/2025,12-13:00,Poster,Developmental therapeutics
Tumor GDF-15 Expression and Cancer Cachexia as Prognostic Indicators in Intermediate-Risk Metastatic Renal Cell Carcinoma Treated with Nivolumab,Orhun Akdogan ,"Ankara, Turkey","Department of Medical Oncology, Gazi University Faculty of Medicine, Ankara, Turkey.",2963eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
Geographic variation in somatic genomics of lung cancer,Oscar Gerardo Arrieta Rodriguez ,"Ciudad de Mexico, Mexico","Instituto Nacional de Cancerología, Mexico City 14080, Mexico.",,Heidelberg Auditorium - Hall 6.2,10/19/2025,08:30 - 08:45,Symposium,The importance of representing genomically diverse populations for advancing cancer knowledge
Evaluating the Role of Step Counts in Predicting Readmission and Mortality (STEP-CANCER),Osman Sutcuoglu ,"Ankara, Turkey","Medical Oncology Department, Etlik City Hospital, Ankara, Turkey.",2891P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
Evaluating the Reproductive Impact of Pembrolizumab in Mice: Ovarian Function and Hormonal Changes,Osman Sutcuoglu ,"Ankara, Turkey","Medical Oncology Department, Etlik City Hospital, Ankara, Turkey.",2895P,Hall 25,10/19/2025,12-13:00,Poster,Supportive care
Financial toxicity during clinial trials in cancer,Ozgun GOKMEN KAYA ,"ISTANBUL, Turkey",,,Potsdam Auditorium - Hall 5.1,10/19/2025,15:45 - 16:00,Eons Session,MASCC-EONS collaborative session
From Bedside to Bot: Can ChatGPT Support Critical Cancer Nursing Decisions After  Hematopoietic Stem Cell Transplantation?,Ozgun GOKMEN KAYA ,"ISTANBUL, Turkey",,CN6,Oldenburg Auditorium - Hall 5.1,10/19/2025,09:30 - 09:40,Eons Session,Digital innovation and Artificial intelligence in cancer nursing
Continuing Beyond Necessity: A Scale to Assess Concorde Syndrome in End-of-Life Cancer Care,Ozgur Tanriverdi ,"Mugla, Turkey","Muğla Sitki Kocman University Faculty of Medicine, Department of Medical Oncology, Muğla",2546P,Hall 25,10/19/2025,12-13:00,Poster,Psycho-oncology
Characteristics and Outcomes of Kidney Transplant Rejection Associated with Immune Checkpoint Inhibitors: A FAERS Database Analysis,Ozkan Alan ,"Istanbul, Turkey","Division of Medical Oncology, Department of Internal Medicine, Istanbul University-Cerrahpaşa, Istanbul 34098, Turkey.",2928eP,Hall 25,10/19/2025,12-13:00,ePoster,Supportive care
"Phase I/II study of the pan-FGFR inhibitor futibatinib in children, adolescents and young adults with advanced tumors and FGFR alterations: Arm O of the AcSe-ESMART trial",Pablo Berlanga ,"Villejuif, France","Gustave Roussy Cancer Center, Université Paris-Saclay, Villejuif, France.",930P,Hall 25,10/19/2025,12-13:00,Poster,Developmental therapeutics
Low-dose Anti-PD-(L)1s agents in Immune-Oncology: Are we prepared?,Pablo Jimenez Labaig ,"London, United Kingdom",,2306P,Hall 25,10/19/2025,12-13:00,Poster,Policy
"Progression-Free Survival on next-line therapy (EFS2, PRFS2, PFS2) as a predictor of overall survival: Analysis of 44 anti-PD-(L)1-based randomized phase II/III clinical trials across solid tumours",Pablo Jimenez Labaig ,"London, United Kingdom",,2313P,Hall 25,10/19/2025,12-13:00,Poster,Policy
Social Media as a Tool for Cancer Education: Implementation and Outcomes of a Spanish Oncological Video Podcast Series,Pablo Palao Contell ,"Valencia, Spain",,2314P,Hall 25,10/19/2025,12-13:00,Poster,Policy
The Role of Nutritional Supplements in Patients Undergoing Curative Treatment for Oesophageal and Junctional Adenocarcinomas (ADCs): Insights from the OE05 Trial,Panagiotis Ntellas ,"Sutton, United Kingdom","Department of Medical Oncology, University Hospital of Ioannina, Greece.",2170P,Hall 25,10/19/2025,12-13:00,Poster,Oesophagogastric cancer
"Efficacy and Safety of HBM4003, an anti-CTLA-4 Antibody, Combined with Tislelizumab in MSS Metastatic Colorectal Cancer: A Multicenter, Phase II Study",Panpan Zhang ,"Beijing, China","Obstetrics & Gynecology Hospital of Fudan University, Shanghai, China.",807P,Hall 25,10/19/2025,12-13:00,Poster,Colorectal cancer
